data_points training_accuracy simulation_reward test_accuracy
64 0.65625 0.47391666666666643 0.573
128 0.6171875 0.46750000000000025 0.627
256 0.56640625 0.2119583333333332 0.57
512 0.521484375 0.1850833333333333 0.559
1024 0.462890625 0.43233333333333335 0.47
2048 0.466796875 0.35120833333333346 0.471
4096 0.508544921875 0.2455833333333332 0.507
