data_points training_accuracy simulation_reward test_accuracy
64 0.984375 0.8333333333333314 0.7302
128 0.8828125 0.8333333333333314 0.6849
256 0.75390625 0.888888888888891 0.6571
512 0.7109375 0.888888888888891 0.5045
1024 0.7841796875 0.888888888888891 0.6749
2048 0.74365234375 0.888888888888891 0.6964
4096 0.7578125 0.888888888888891 0.7077
8192 0.7769775390625 0.888888888888891 0.7293
