data_points training_accuracy simulation_reward
1024 0.41796875 0.609289390791687
2048 0.41064453125 0.6356492342326628
4096 0.45556640625 0.609289390791687
8192 0.432373046875 0.5259560574583557
16384 0.52777099609375 0.609289390791687
