data_points training_accuracy simulation_reward
1024 1.0 0.09306216759868594
2048 0.97607421875 0.12190655457913423
4096 0.839599609375 0.15595194699542866
8192 0.6839599609375 0.24472228679525312
16384 0.5020751953125 0.27938521776814157
