data_points training_accuracy simulation_reward
1024 0.787109375 0.09120195224668799
2048 0.70849609375 0.10942708369176872
4096 0.533203125 0.11727559152288076
8192 0.691162109375 0.26976950628777135
16384 0.5255126953125 0.28171153896772266
