data_points training_accuracy simulation_reward test_accuracy
512 0.75390625 0.10642121020197001 0.524
1024 0.6064453125 0.2514614436736332 0.3527
2048 0.53662109375 0.31862299463797095 0.3419
4096 0.504638671875 0.34611568420914574 0.344
8192 0.4703369140625 0.3535642554227938 0.332
16384 0.43267822265625 0.36179167435043585 0.3213
32768 0.37176513671875 0.40648158917428423 0.2889
65536 0.37152099609375 0.4379548636401216 0.3057
71011 0.37718100012674094 0.43654173878739455 0.3096
