data_points training_accuracy simulation_reward
1024 0.296875 0.10663145752727253
2048 0.61376953125 0.12917587680665227
4096 0.471435546875 0.11515859740665234
8192 0.5648193359375 0.31561459833497496
16384 0.447509765625 0.35147888275887185
