time/total_timesteps,rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/fps,rollout/exploration_rate,rollout/ep_len_mean,train/n_updates,train/loss,train/learning_rate
17305,13.625277790000002,1124,310,55,0.05,15.5,17104,0.026056524366140366,0.0005
17369,13.646944450000003,1128,311,55,0.05,15.52,17168,0.0021969028748571873,0.0005
17431,13.62555557,1132,312,55,0.05,15.5,17230,0.004834202583879232,0.0005
17494,13.633888890000001,1136,314,55,0.05,15.51,17293,0.009352226741611958,0.0005
17555,13.623055540000005,1140,315,55,0.05,15.5,17354,0.008150506764650345,0.0005
17615,13.606388870000004,1144,316,55,0.05,15.48,17414,0.003166463691741228,0.0005
17678,13.609166660000001,1148,317,55,0.05,15.48,17477,0.002252600621432066,0.0005
17741,13.639999999999997,1152,318,55,0.05,15.51,17540,0.0015483046881854534,0.0005
17795,13.55472222,1156,319,55,0.05,15.42,17594,0.013553520664572716,0.0005
17858,13.563611110000002,1160,320,55,0.05,15.43,17657,0.009912551380693913,0.0005
17921,13.555555550000001,1164,321,55,0.05,15.43,17720,0.012394689954817295,0.0005
17983,13.545833330000002,1168,322,55,0.05,15.42,17782,0.018752412870526314,0.0005
18045,13.535555550000002,1172,323,55,0.05,15.41,17844,0.0008864538976922631,0.0005
18109,13.55333334,1176,324,55,0.05,15.43,17908,0.027163956314325333,0.0005
18166,13.510555569999998,1180,325,55,0.05,15.38,17965,0.002060453873127699,0.0005
18230,13.53138891,1184,326,55,0.05,15.4,18029,0.0021962409373372793,0.0005
18291,13.54527779,1188,327,55,0.05,15.42,18090,0.002352796494960785,0.0005
18354,13.60138889,1192,328,55,0.05,15.48,18153,0.000792059232480824,0.0005
18412,13.5938889,1196,329,55,0.05,15.47,18211,0.005785352550446987,0.0005
18474,13.580277770000002,1200,331,55,0.05,15.45,18273,0.0008209691732190549,0.0005
18539,13.58333333,1204,332,55,0.05,15.46,18338,0.004145635291934013,0.0005
18596,13.532499990000002,1208,333,55,0.05,15.4,18395,0.0018455074168741703,0.0005
18657,13.516388880000001,1212,334,55,0.05,15.38,18456,0.002154563320800662,0.0005
18718,13.50111109,1216,335,55,0.05,15.36,18517,0.008412590250372887,0.0005
18781,13.534166640000002,1220,336,55,0.05,15.39,18580,0.005369801539927721,0.0005
18845,13.542777759999996,1224,337,55,0.05,15.4,18644,0.002895296784117818,0.0005
18906,13.514999980000002,1228,338,55,0.05,15.37,18705,0.0036915731616318226,0.0005
18969,13.524166630000002,1232,339,55,0.05,15.38,18768,0.009023121558129787,0.0005
19030,13.505833290000004,1236,340,55,0.05,15.36,18829,0.01164796482771635,0.0005
19092,13.51333331,1240,341,55,0.05,15.37,18891,0.0022485346999019384,0.0005
19153,13.51666665,1244,342,55,0.05,15.38,18952,0.00217447429895401,0.0005
19216,13.514999970000002,1248,343,55,0.05,15.38,19015,0.006850443314760923,0.0005
19277,13.49666663,1252,344,55,0.05,15.36,19076,0.003704850096255541,0.0005
19338,13.565277739999999,1256,345,55,0.05,15.43,19137,0.000859092571772635,0.0005
19399,13.54749995,1260,346,55,0.05,15.41,19198,0.08932676911354065,0.0005
19460,13.536388839999999,1264,347,55,0.05,15.39,19259,0.009033684618771076,0.0005
19521,13.52888884,1268,348,55,0.05,15.38,19320,0.11791597306728363,0.0005
19584,13.542222170000002,1272,349,55,0.05,15.39,19383,0.002417210256680846,0.0005
19647,13.52416661,1276,350,55,0.05,15.38,19446,0.0015507787466049194,0.0005
19707,13.551944380000002,1280,351,55,0.05,15.41,19506,0.0010949280112981796,0.0005
19768,13.519166599999998,1284,353,55,0.05,15.38,19567,0.004732802044600248,0.0005
19828,13.5102777,1288,354,56,0.05,15.37,19627,0.01496011670678854,0.0005
19889,13.496944370000001,1292,355,56,0.05,15.35,19688,0.011643114499747753,0.0005
