data_points,training_accuracy,simulation_reward
16,1.0,0.17823918599875915
32,1.0,0.12998710640026817
64,1.0,0.2005287175686095
128,1.0,0.16936087493346222
256,0.98828125,0.24123445457906814
512,0.994140625,0.2659638509247916
1024,0.99609375,0.17541508690077615
2048,0.99072265625,0.229950313565949
4096,0.993408203125,0.3093986134018908
