time/fps,time/episodes,rollout/ep_len_mean,rollout/exploration_rate,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/loss,train/learning_rate,train/n_updates
66,4,8.25,0.9843249999999997,0,33,6.99305575,,,
61,8,9.5,0.9638999999999998,1,76,8.090277875,,,
62,12,10.5,0.9401500000000003,2,126,8.930555583333334,,,
63,16,10.5,0.9202000000000004,2,168,9.008680562499999,,,
63,20,9.85,0.9064249999999998,3,197,8.465277749999998,,,
61,24,9.708333333333334,0.8893249999999996,3,233,8.350694416666666,0.04049099609255791,0.0005,32
61,28,9.607142857142858,0.8722250000000004,4,269,8.279761857142857,0.058934979140758514,0.0005,68
60,32,9.53125,0.8551250000000001,5,305,8.24131940625,0.16863474249839783,0.0005,104
60,36,9.222222222222221,0.8423000000000005,5,332,7.987654305555556,0.04418397694826126,0.0005,131
60,40,9.2,0.8252000000000003,6,368,7.972916649999999,0.08506697416305542,0.0005,167
60,44,9.227272727272727,0.8071500000000001,6,406,7.989898977272727,0.22820420563220978,0.0005,205
60,48,9.25,0.7891,7,444,8.011574041666666,0.07989136129617691,0.0005,243
59,52,9.01923076923077,0.7772250000000003,7,469,7.817307634615383,0.10527318716049194,0.0005,268
59,56,8.910714285714286,0.7629749999999997,8,499,7.721230125,0.07333966344594955,0.0005,298
59,60,8.783333333333333,0.7496750000000001,8,527,7.611574033333333,0.12860819697380066,0.0005,326
59,64,8.875,0.7302000000000002,9,568,7.69444440625,0.06455905735492706,0.0005,367
59,68,9.102941176470589,0.7059749999999998,10,619,7.902369264705881,0.1695641577243805,0.0005,418
59,72,9.222222222222221,0.6846,11,664,8.003472208333335,0.0754321813583374,0.0005,463
59,76,9.276315789473685,0.665125,11,705,8.040570171052634,0.07003122568130493,0.0005,504
60,80,9.4375,0.6413750000000005,12,755,8.181597225,0.10682744532823563,0.0005,554
60,84,9.464285714285714,0.6223750000000005,13,795,8.199074071428571,0.0865117609500885,0.0005,594
59,88,9.693181818181818,0.5948250000000004,14,853,8.394886363636363,0.1536199003458023,0.0005,652
59,92,9.83695652173913,0.5701249999999999,15,905,8.51479468478261,0.04873410239815712,0.0005,704
59,96,10.03125,0.5425749999999998,16,963,8.6875,0.032056938856840134,0.0005,762
59,100,10.28,0.5117,17,1028,8.899999999999999,0.02906946837902069,0.0005,827
59,104,10.43,0.48890000000000045,17,1076,9.03333333,0.21239233016967773,0.0005,875
59,108,10.66,0.4575499999999997,19,1142,9.23527778,0.11673590540885925,0.0005,941
59,112,10.77,0.4285749999999997,20,1203,9.35000001,0.13189458847045898,0.0005,1002
59,116,10.97,0.39912499999999984,21,1265,9.51694445,0.22843512892723083,0.0005,1064
59,120,11.23,0.37299999999999955,22,1320,9.73333335,0.026645949110388756,0.0005,1119
59,124,11.53,0.3416499999999999,23,1386,9.98500003,0.1499345749616623,0.0005,1185
59,128,11.81,0.31125,24,1450,10.2230556,0.06270305067300797,0.0005,1249
59,132,12.07,0.28180000000000005,25,1512,10.44583338,0.07313263416290283,0.0005,1311
59,136,12.41,0.2528250000000001,26,1573,10.725000049999998,0.03443726897239685,0.0005,1372
59,140,12.71,0.22147500000000042,27,1639,10.978055609999998,0.07147892564535141,0.0005,1438
59,144,12.97,0.19107499999999955,28,1703,11.20583339,0.24410155415534973,0.0005,1502
59,148,13.22,0.16114999999999957,29,1766,11.41722229,0.10640184581279755,0.0005,1565
59,152,13.62,0.1302749999999998,30,1831,11.75027787,0.1234767958521843,0.0005,1630
59,156,13.97,0.09940000000000015,31,1896,12.04888897,0.16609545052051544,0.0005,1695
59,160,14.34,0.06852500000000039,33,1961,12.363611200000003,0.05676468461751938,0.0005,1760
59,164,14.59,0.05,34,2027,12.57500008,0.01739424280822277,0.0005,1826
59,168,14.74,0.05,35,2093,12.693333399999998,0.17984552681446075,0.0005,1892
59,172,14.94,0.05,36,2158,12.863888949999998,0.10475611686706543,0.0005,1957
59,176,15.19,0.05,37,2224,13.08416672,0.03212670236825943,0.0005,2023
59,180,15.33,0.05,38,2288,13.206111159999999,0.16812725365161896,0.0005,2087
59,184,15.57,0.05,39,2352,13.421944500000002,0.02022264339029789,0.0005,2151
59,188,15.63,0.05,40,2416,13.48194449,0.022003622725605965,0.0005,2215
59,192,15.75,0.05,41,2480,13.59416671,0.0067642079666256905,0.0005,2279
58,196,15.82,0.05,43,2545,13.649166709999998,0.22982573509216309,0.0005,2344
